run_id,timestamp_utc,status,language,srs,model,stack,cert_n,pass@1,case_pass_rate,n_tested_frs,n_proved_features,missing_reason,json_path
20260627-180005-2009-video-search,2026-06-27T18:00:05.212957+00:00,complete,java,2009 - video search,anthropic_claude-sonnet-4-6,spring,1,1.0,1.0,7,0,,outputs/matrix/java/2009 - video search/anthropic_claude-sonnet-4-6/runs/20260627-180005-2009-video-search.json
20260627-104357-2009-video-search,2026-06-27T10:43:57.520054+00:00,failed,java,2009 - video search,deepseek_deepseek-v3_2,spring,,,,,,certification_missing_or_not_reached,outputs/matrix/java/2009 - video search/deepseek_deepseek-v3_2/runs/20260627-104357-2009-video-search.json
20260627-175958-2009-video-search,2026-06-27T17:59:58.257177+00:00,complete,java,2009 - video search,deepseek_deepseek-v3_2,spring,1,0.0,0.0,0,0,,outputs/matrix/java/2009 - video search/deepseek_deepseek-v3_2/runs/20260627-175958-2009-video-search.json
20260627-103937-2009-video-search,2026-06-27T10:39:37.280281+00:00,failed,java,2009 - video search,google_gemini-3_1-pro-preview,spring,,,,,,certification_missing_or_not_reached,outputs/matrix/java/2009 - video search/google_gemini-3_1-pro-preview/runs/20260627-103937-2009-video-search.json
20260627-175833-2009-video-search,2026-06-27T17:58:33.959751+00:00,complete,java,2009 - video search,google_gemini-3_1-pro-preview,spring,1,0.0,0.0,0,1,,outputs/matrix/java/2009 - video search/google_gemini-3_1-pro-preview/runs/20260627-175833-2009-video-search.json
20260627-172751-2009-video-search,2026-06-27T17:27:51.556473+00:00,complete,java,2009 - video search,openai_gpt-5_1,spring,1,1.0,1.0,7,0,,outputs/matrix/java/2009 - video search/openai_gpt-5_1/runs/20260627-172751-2009-video-search.json
20260630-042454-event-management,2026-06-30T04:24:54.892907+00:00,complete,java,Event Management,anthropic_claude-haiku-4_5,spring,1,0.0,0.0,7,5,,outputs/matrix/java/Event Management/anthropic_claude-haiku-4_5/runs/20260630-042454-event-management.json
20260630-113325-event-management,2026-06-30T11:33:25.369623+00:00,complete,java,Event Management,deepseek_deepseek-v3_2-20251201,spring,1,0.0,0.0,2,10,,outputs/matrix/java/Event Management/deepseek_deepseek-v3_2-20251201/runs/20260630-113325-event-management.json
20260630-060631-event-management,2026-06-30T06:06:31.044579+00:00,complete,java,Event Management,google_gemini-3-flash-preview,spring,1,0.0,0.0,1,11,,outputs/matrix/java/Event Management/google_gemini-3-flash-preview/runs/20260630-060631-event-management.json
20260630-040200-event-management,2026-06-30T04:02:00.345813+00:00,complete,java,Event Management,openai_gpt-5_1,spring,1,0.0,0.0,6,6,,outputs/matrix/java/Event Management/openai_gpt-5_1/runs/20260630-040200-event-management.json
20260629-111434-g16-srs,2026-06-29T11:14:34.691855+00:00,complete,java,G16-SRS,deepseek_deepseek-v3_2,spring,1,1.0,1.0,5,0,,outputs/matrix/java/G16-SRS/deepseek_deepseek-v3_2/runs/20260629-111434-g16-srs.json
20260629-204817-g16-srs,2026-06-29T20:48:17.229373+00:00,complete,java,G16-SRS,openai_gpt-5_1,spring,1,1.0,1.0,5,0,,outputs/matrix/java/G16-SRS/openai_gpt-5_1/runs/20260629-204817-g16-srs.json
20260627-104400-human,2026-06-27T10:44:00.608095+00:00,failed,java,Human,anthropic_claude-sonnet-4-6,spring,,,,,,certification_missing_or_not_reached,outputs/matrix/java/Human/anthropic_claude-sonnet-4-6/runs/20260627-104400-human.json
20260627-180325-human,2026-06-27T18:03:25.014145+00:00,complete,java,Human,anthropic_claude-sonnet-4-6,spring,1,0.0,0.0,0,2,,outputs/matrix/java/Human/anthropic_claude-sonnet-4-6/runs/20260627-180325-human.json
20260627-104425-human,2026-06-27T10:44:25.475067+00:00,failed,java,Human,deepseek_deepseek-v3_2,spring,,,,,,certification_missing_or_not_reached,outputs/matrix/java/Human/deepseek_deepseek-v3_2/runs/20260627-104425-human.json
20260627-180355-human,2026-06-27T18:03:55.085771+00:00,complete,java,Human,deepseek_deepseek-v3_2,spring,1,0.0,0.0,0,1,,outputs/matrix/java/Human/deepseek_deepseek-v3_2/runs/20260627-180355-human.json
20260627-104400-human,2026-06-27T10:44:00.518676+00:00,failed,java,Human,google_gemini-3_1-pro-preview,spring,,,,,,certification_missing_or_not_reached,outputs/matrix/java/Human/google_gemini-3_1-pro-preview/runs/20260627-104400-human.json
20260627-180537-human,2026-06-27T18:05:37.507217+00:00,complete,java,Human,google_gemini-3_1-pro-preview,spring,1,0.0,0.0,0,2,,outputs/matrix/java/Human/google_gemini-3_1-pro-preview/runs/20260627-180537-human.json
20260627-172924-human,2026-06-27T17:29:24.689318+00:00,complete,java,Human,openai_gpt-5_1,spring,1,1.0,1.0,1,1,,outputs/matrix/java/Human/openai_gpt-5_1/runs/20260627-172924-human.json
20260629-114958-srs-software-requirement-specification,2026-06-29T11:49:58.011075+00:00,complete,java,SRS (Software Requirement Specification),deepseek_deepseek-v3_2,spring,1,1.0,1.0,6,0,,outputs/matrix/java/SRS (Software Requirement Specification)/deepseek_deepseek-v3_2/runs/20260629-114958-srs-software-requirement-specification.json
20260629-212046-srs-software-requirement-specification,2026-06-29T21:20:46.695947+00:00,complete,java,SRS (Software Requirement Specification),openai_gpt-5_1,spring,1,1.0,1.0,6,0,,outputs/matrix/java/SRS (Software Requirement Specification)/openai_gpt-5_1/runs/20260629-212046-srs-software-requirement-specification.json
20260630-050124-shoten-srs,2026-06-30T05:01:24.913492+00:00,complete,java,Shoten_SRS,anthropic_claude-haiku-4_5,spring,1,0.0,0.0,38,6,,outputs/matrix/java/Shoten_SRS/anthropic_claude-haiku-4_5/runs/20260630-050124-shoten-srs.json
20260629-225605-shoten-srs,2026-06-29T22:56:05.193909+00:00,complete,java,Shoten_SRS,deepseek_deepseek-v3_2,spring,1,0.0,0.0,44,4,,outputs/matrix/java/Shoten_SRS/deepseek_deepseek-v3_2/runs/20260629-225605-shoten-srs.json
20260630-132936-shoten-srs,2026-06-30T13:29:36.467322+00:00,complete,java,Shoten_SRS,deepseek_deepseek-v3_2-20251201,spring,1,0.0,0.0,29,7,,outputs/matrix/java/Shoten_SRS/deepseek_deepseek-v3_2-20251201/runs/20260630-132936-shoten-srs.json
20260630-063000-shoten-srs,2026-06-30T06:30:00.399846+00:00,complete,java,Shoten_SRS,google_gemini-3-flash-preview,spring,1,0.0,0.0,31,8,,outputs/matrix/java/Shoten_SRS/google_gemini-3-flash-preview/runs/20260630-063000-shoten-srs.json
20260629-215723-shoten-srs,2026-06-29T21:57:23.713380+00:00,complete,java,Shoten_SRS,openai_gpt-5_1,spring,1,1.0,1.0,31,8,,outputs/matrix/java/Shoten_SRS/openai_gpt-5_1/runs/20260629-215723-shoten-srs.json
20260630-041418-trading-software,2026-06-30T04:14:18.556908+00:00,complete,java,TRADING SOFTWARE,anthropic_claude-haiku-4_5,spring,1,0.0,0.0,6,6,,outputs/matrix/java/TRADING SOFTWARE/anthropic_claude-haiku-4_5/runs/20260630-041418-trading-software.json
20260630-110337-trading-software,2026-06-30T11:03:37.864041+00:00,complete,java,TRADING SOFTWARE,deepseek_deepseek-v3_2-20251201,spring,1,0.0,0.0,4,10,,outputs/matrix/java/TRADING SOFTWARE/deepseek_deepseek-v3_2-20251201/runs/20260630-110337-trading-software.json
20260630-111101-trading-software,2026-06-30T11:11:01.204398+00:00,complete,java,TRADING SOFTWARE,deepseek_deepseek-v3_2-20251201,spring,1,0.0,0.0,2,9,,outputs/matrix/java/TRADING SOFTWARE/deepseek_deepseek-v3_2-20251201/runs/20260630-111101-trading-software.json
20260630-055105-trading-software,2026-06-30T05:51:05.670239+00:00,complete,java,TRADING SOFTWARE,google_gemini-3-flash-preview,spring,1,0.0,0.0,4,8,,outputs/matrix/java/TRADING SOFTWARE/google_gemini-3-flash-preview/runs/20260630-055105-trading-software.json
20260630-034701-trading-software,2026-06-30T03:47:01.602688+00:00,complete,java,TRADING SOFTWARE,openai_gpt-5_1,spring,1,1.0,1.0,6,0,,outputs/matrix/java/TRADING SOFTWARE/openai_gpt-5_1/runs/20260630-034701-trading-software.json
20260627-104427-dineout-srs,2026-06-27T10:44:27.110191+00:00,failed,java,dineout_srs,anthropic_claude-sonnet-4-6,spring,,,,,,certification_missing_or_not_reached,outputs/matrix/java/dineout_srs/anthropic_claude-sonnet-4-6/runs/20260627-104427-dineout-srs.json
20260627-183706-dineout-srs,2026-06-27T18:37:06.178361+00:00,complete,java,dineout_srs,anthropic_claude-sonnet-4-6,spring,1,0.0,0.0,7,7,,outputs/matrix/java/dineout_srs/anthropic_claude-sonnet-4-6/runs/20260627-183706-dineout-srs.json
20260627-104438-dineout-srs,2026-06-27T10:44:38.190574+00:00,failed,java,dineout_srs,deepseek_deepseek-v3_2,spring,,,,,,certification_missing_or_not_reached,outputs/matrix/java/dineout_srs/deepseek_deepseek-v3_2/runs/20260627-104438-dineout-srs.json
20260627-183717-dineout-srs,2026-06-27T18:37:17.327592+00:00,complete,java,dineout_srs,deepseek_deepseek-v3_2,spring,1,0.0,0.0,7,5,,outputs/matrix/java/dineout_srs/deepseek_deepseek-v3_2/runs/20260627-183717-dineout-srs.json
20260627-104427-dineout-srs,2026-06-27T10:44:27.339857+00:00,failed,java,dineout_srs,google_gemini-3_1-pro-preview,spring,,,,,,certification_missing_or_not_reached,outputs/matrix/java/dineout_srs/google_gemini-3_1-pro-preview/runs/20260627-104427-dineout-srs.json
20260627-184727-dineout-srs,2026-06-27T18:47:27.294575+00:00,failed,java,dineout_srs,google_gemini-3_1-pro-preview,spring,,,,,,certification_missing_or_not_reached,outputs/matrix/java/dineout_srs/google_gemini-3_1-pro-preview/runs/20260627-184727-dineout-srs.json
20260627-205427-dineout-srs,2026-06-27T20:54:27.777776+00:00,failed,java,dineout_srs,google_gemini-3_1-pro-preview,spring,,,,,,certification_missing_or_not_reached,outputs/matrix/java/dineout_srs/google_gemini-3_1-pro-preview/runs/20260627-205427-dineout-srs.json
20260627-233356-dineout-srs,2026-06-27T23:33:56.403092+00:00,failed,java,dineout_srs,google_gemini-3_1-pro-preview,spring,,,,,,certification_missing_or_not_reached,outputs/matrix/java/dineout_srs/google_gemini-3_1-pro-preview/runs/20260627-233356-dineout-srs.json
20260628-033707-dineout-srs,2026-06-28T03:37:07.423308+00:00,complete,java,dineout_srs,openai_gpt-4_1,spring,1,0.0,0.0,12,4,,outputs/matrix/java/dineout_srs/openai_gpt-4_1/runs/20260628-033707-dineout-srs.json
20260627-174230-dineout-srs,2026-06-27T17:42:30.894981+00:00,complete,java,dineout_srs,openai_gpt-5_1,spring,1,0.0,0.0,14,5,,outputs/matrix/java/dineout_srs/openai_gpt-5_1/runs/20260627-174230-dineout-srs.json
20260630-053705-foodsaver,2026-06-30T05:37:05.676769+00:00,failed,java,foodsaver,anthropic_claude-haiku-4_5,spring,,,,,,certification_missing_or_not_reached,outputs/matrix/java/foodsaver/anthropic_claude-haiku-4_5/runs/20260630-053705-foodsaver.json
20260630-055019-foodsaver,2026-06-30T05:50:19.606485+00:00,failed,java,foodsaver,anthropic_claude-haiku-4_5,spring,,,,,,certification_missing_or_not_reached,outputs/matrix/java/foodsaver/anthropic_claude-haiku-4_5/runs/20260630-055019-foodsaver.json
20260630-060327-foodsaver,2026-06-30T06:03:27.882007+00:00,failed,java,foodsaver,anthropic_claude-haiku-4_5,spring,,,,,,certification_missing_or_not_reached,outputs/matrix/java/foodsaver/anthropic_claude-haiku-4_5/runs/20260630-060327-foodsaver.json
20260630-093618-foodsaver,2026-06-30T09:36:18.678791+00:00,complete,java,foodsaver,anthropic_claude-haiku-4_5,spring,,,,,,certification_missing_or_not_reached,outputs/matrix/java/foodsaver/anthropic_claude-haiku-4_5/runs/20260630-093618-foodsaver.json
20260629-033254-foodsaver,2026-06-29T03:32:54.695132+00:00,failed,java,foodsaver,deepseek_deepseek-v3_2,spring,,,,,,certification_missing_or_not_reached,outputs/matrix/java/foodsaver/deepseek_deepseek-v3_2/runs/20260629-033254-foodsaver.json
20260629-094017-foodsaver,2026-06-29T09:40:17.064219+00:00,failed,java,foodsaver,deepseek_deepseek-v3_2,spring,,,,,,certification_missing_or_not_reached,outputs/matrix/java/foodsaver/deepseek_deepseek-v3_2/runs/20260629-094017-foodsaver.json
20260629-112156-foodsaver,2026-06-29T11:21:56.496655+00:00,failed,java,foodsaver,deepseek_deepseek-v3_2,spring,,,,,,certification_missing_or_not_reached,outputs/matrix/java/foodsaver/deepseek_deepseek-v3_2/runs/20260629-112156-foodsaver.json
20260629-114323-foodsaver,2026-06-29T11:43:23.885600+00:00,complete,java,foodsaver,deepseek_deepseek-v3_2,spring,1,0.0,0.0,16,20,,outputs/matrix/java/foodsaver/deepseek_deepseek-v3_2/runs/20260629-114323-foodsaver.json
20260630-065334-foodsaver,2026-06-30T06:53:34.649516+00:00,complete,java,foodsaver,google_gemini-3-flash-preview,spring,1,0.0,0.0,4,33,,outputs/matrix/java/foodsaver/google_gemini-3-flash-preview/runs/20260630-065334-foodsaver.json
20260629-224325-foodsaver,2026-06-29T22:43:25.334489+00:00,complete,java,foodsaver,openai_gpt-5_1,spring,1,0.0,0.0,8,29,,outputs/matrix/java/foodsaver/openai_gpt-5_1/runs/20260629-224325-foodsaver.json
20260627-104439-kinmail-srs,2026-06-27T10:44:39.953400+00:00,failed,java,kinmail_srs,anthropic_claude-sonnet-4-6,spring,,,,,,certification_missing_or_not_reached,outputs/matrix/java/kinmail_srs/anthropic_claude-sonnet-4-6/runs/20260627-104439-kinmail-srs.json
20260627-185841-kinmail-srs,2026-06-27T18:58:41.710177+00:00,complete,java,kinmail_srs,anthropic_claude-sonnet-4-6,spring,1,0.0,0.0,5,1,,outputs/matrix/java/kinmail_srs/anthropic_claude-sonnet-4-6/runs/20260627-185841-kinmail-srs.json
20260627-104451-kinmail-srs,2026-06-27T10:44:51.096015+00:00,failed,java,kinmail_srs,deepseek_deepseek-v3_2,spring,,,,,,certification_missing_or_not_reached,outputs/matrix/java/kinmail_srs/deepseek_deepseek-v3_2/runs/20260627-104451-kinmail-srs.json
20260627-190346-kinmail-srs,2026-06-27T19:03:46.150356+00:00,complete,java,kinmail_srs,deepseek_deepseek-v3_2,spring,1,1.0,1.0,13,0,,outputs/matrix/java/kinmail_srs/deepseek_deepseek-v3_2/runs/20260627-190346-kinmail-srs.json
20260628-225958-kinmail-srs,2026-06-28T22:59:58.707872+00:00,complete,java,kinmail_srs,deepseek_deepseek-v3_2,spring,1,1.0,1.0,5,7,,outputs/matrix/java/kinmail_srs/deepseek_deepseek-v3_2/runs/20260628-225958-kinmail-srs.json
20260627-104439-kinmail-srs,2026-06-27T10:44:39.948841+00:00,failed,java,kinmail_srs,google_gemini-3_1-pro-preview,spring,,,,,,certification_missing_or_not_reached,outputs/matrix/java/kinmail_srs/google_gemini-3_1-pro-preview/runs/20260627-104439-kinmail-srs.json
20260627-190048-kinmail-srs,2026-06-27T19:00:48.355071+00:00,complete,java,kinmail_srs,google_gemini-3_1-pro-preview,spring,1,0.0,0.0,0,2,,outputs/matrix/java/kinmail_srs/google_gemini-3_1-pro-preview/runs/20260627-190048-kinmail-srs.json
20260627-174914-kinmail-srs,2026-06-27T17:49:14.447664+00:00,complete,java,kinmail_srs,openai_gpt-5_1,spring,1,1.0,1.0,13,0,,outputs/matrix/java/kinmail_srs/openai_gpt-5_1/runs/20260627-174914-kinmail-srs.json
20260627-101711-0000-cctns,2026-06-27T10:17:11.913869+00:00,complete,javascript,0000 - cctns,anthropic_claude-sonnet-4-6,express,1,0.0,0.4,2,5,,outputs/matrix/javascript/0000 - cctns/anthropic_claude-sonnet-4-6/runs/20260627-101711-0000-cctns.json
20260627-102207-0000-cctns,2026-06-27T10:22:07.114006+00:00,complete,javascript,0000 - cctns,deepseek_deepseek-v3_2,express,1,0.0,0.4,4,2,,outputs/matrix/javascript/0000 - cctns/deepseek_deepseek-v3_2/runs/20260627-102207-0000-cctns.json
20260627-101333-0000-cctns,2026-06-27T10:13:33.216511+00:00,complete,javascript,0000 - cctns,google_gemini-3_1-pro-preview,express,1,0.0,0.0,0,7,,outputs/matrix/javascript/0000 - cctns/google_gemini-3_1-pro-preview/runs/20260627-101333-0000-cctns.json
20260627-171734-0000-cctns,2026-06-27T17:17:34.420840+00:00,complete,javascript,0000 - cctns,openai_gpt-5_1,express,1,0.0,0.6666666666666666,2,5,,outputs/matrix/javascript/0000 - cctns/openai_gpt-5_1/runs/20260627-171734-0000-cctns.json
20260627-103639-0000-gamma-j,2026-06-27T10:36:39.802448+00:00,complete,javascript,0000 - gamma j,anthropic_claude-sonnet-4-6,express,1,0.0,0.0,0,6,,outputs/matrix/javascript/0000 - gamma j/anthropic_claude-sonnet-4-6/runs/20260627-103639-0000-gamma-j.json
20260627-103505-0000-gamma-j,2026-06-27T10:35:05.871290+00:00,complete,javascript,0000 - gamma j,deepseek_deepseek-v3_2,express,1,0.0,0.3,2,3,,outputs/matrix/javascript/0000 - gamma j/deepseek_deepseek-v3_2/runs/20260627-103505-0000-gamma-j.json
20260627-103416-0000-gamma-j,2026-06-27T10:34:16.410644+00:00,complete,javascript,0000 - gamma j,google_gemini-3_1-pro-preview,express,1,0.0,0.0,0,6,,outputs/matrix/javascript/0000 - gamma j/google_gemini-3_1-pro-preview/runs/20260627-103416-0000-gamma-j.json
20260627-172208-0000-gamma-j,2026-06-27T17:22:08.180269+00:00,complete,javascript,0000 - gamma j,openai_gpt-5_1,express,1,0.0,0.5,2,4,,outputs/matrix/javascript/0000 - gamma j/openai_gpt-5_1/runs/20260627-172208-0000-gamma-j.json
20260627-104105-2009-video-search,2026-06-27T10:41:05.412604+00:00,failed,javascript,2009 - video search,anthropic_claude-sonnet-4-6,express,,,,,,certification_missing_or_not_reached,outputs/matrix/javascript/2009 - video search/anthropic_claude-sonnet-4-6/runs/20260627-104105-2009-video-search.json
20260627-172613-2009-video-search,2026-06-27T17:26:13.044895+00:00,complete,javascript,2009 - video search,anthropic_claude-sonnet-4-6,express,1,0.0,0.0,0,1,,outputs/matrix/javascript/2009 - video search/anthropic_claude-sonnet-4-6/runs/20260627-172613-2009-video-search.json
20260627-104851-2009-video-search,2026-06-27T10:48:51.009145+00:00,failed,javascript,2009 - video search,deepseek_deepseek-v3_2,express,,,,,,certification_missing_or_not_reached,outputs/matrix/javascript/2009 - video search/deepseek_deepseek-v3_2/runs/20260627-104851-2009-video-search.json
20260627-172911-2009-video-search,2026-06-27T17:29:11.528122+00:00,complete,javascript,2009 - video search,deepseek_deepseek-v3_2,express,1,0.42857142857142855,0.72,7,0,,outputs/matrix/javascript/2009 - video search/deepseek_deepseek-v3_2/runs/20260627-172911-2009-video-search.json
20260627-104015-2009-video-search,2026-06-27T10:40:15.799054+00:00,failed,javascript,2009 - video search,google_gemini-3_1-pro-preview,express,,,,,,certification_missing_or_not_reached,outputs/matrix/javascript/2009 - video search/google_gemini-3_1-pro-preview/runs/20260627-104015-2009-video-search.json
20260627-172429-2009-video-search,2026-06-27T17:24:29.871388+00:00,complete,javascript,2009 - video search,google_gemini-3_1-pro-preview,express,1,0.0,0.0,0,1,,outputs/matrix/javascript/2009 - video search/google_gemini-3_1-pro-preview/runs/20260627-172429-2009-video-search.json
20260627-172426-2009-video-search,2026-06-27T17:24:26.404968+00:00,complete,javascript,2009 - video search,openai_gpt-5_1,express,1,0.42857142857142855,0.72,7,0,,outputs/matrix/javascript/2009 - video search/openai_gpt-5_1/runs/20260627-172426-2009-video-search.json
20260630-043130-event-management,2026-06-30T04:31:30.609979+00:00,complete,javascript,Event Management,anthropic_claude-haiku-4_5,express,1,0.0,0.4444444444444444,6,6,,outputs/matrix/javascript/Event Management/anthropic_claude-haiku-4_5/runs/20260630-043130-event-management.json
20260630-115536-event-management,2026-06-30T11:55:36.992485+00:00,complete,javascript,Event Management,deepseek_deepseek-v3_2-20251201,express,1,0.25,0.5,4,8,,outputs/matrix/javascript/Event Management/deepseek_deepseek-v3_2-20251201/runs/20260630-115536-event-management.json
20260630-061011-event-management,2026-06-30T06:10:11.200091+00:00,complete,javascript,Event Management,google_gemini-3-flash-preview,express,1,0.0,0.25,1,11,,outputs/matrix/javascript/Event Management/google_gemini-3-flash-preview/runs/20260630-061011-event-management.json
20260630-040140-event-management,2026-06-30T04:01:40.768659+00:00,complete,javascript,Event Management,openai_gpt-5_1,express,1,0.3333333333333333,0.6896551724137931,6,6,,outputs/matrix/javascript/Event Management/openai_gpt-5_1/runs/20260630-040140-event-management.json
20260629-111904-g16-srs,2026-06-29T11:19:04.282907+00:00,complete,javascript,G16-SRS,deepseek_deepseek-v3_2,express,1,0.2,0.5238095238095238,5,0,,outputs/matrix/javascript/G16-SRS/deepseek_deepseek-v3_2/runs/20260629-111904-g16-srs.json
20260629-204615-g16-srs,2026-06-29T20:46:15.551874+00:00,complete,javascript,G16-SRS,openai_gpt-5_1,express,1,0.0,0.0,0,1,,outputs/matrix/javascript/G16-SRS/openai_gpt-5_1/runs/20260629-204615-g16-srs.json
20260627-104852-human,2026-06-27T10:48:52.875239+00:00,failed,javascript,Human,anthropic_claude-sonnet-4-6,express,,,,,,certification_missing_or_not_reached,outputs/matrix/javascript/Human/anthropic_claude-sonnet-4-6/runs/20260627-104852-human.json
20260627-173206-human,2026-06-27T17:32:06.253260+00:00,complete,javascript,Human,anthropic_claude-sonnet-4-6,express,1,0.0,0.0,0,2,,outputs/matrix/javascript/Human/anthropic_claude-sonnet-4-6/runs/20260627-173206-human.json
20260627-104852-human,2026-06-27T10:48:52.744985+00:00,failed,javascript,Human,deepseek_deepseek-v3_2,express,,,,,,certification_missing_or_not_reached,outputs/matrix/javascript/Human/deepseek_deepseek-v3_2/runs/20260627-104852-human.json
20260627-173513-human,2026-06-27T17:35:13.891504+00:00,complete,javascript,Human,deepseek_deepseek-v3_2,express,1,0.0,0.6,1,0,,outputs/matrix/javascript/Human/deepseek_deepseek-v3_2/runs/20260627-173513-human.json
20260627-104852-human,2026-06-27T10:48:52.740145+00:00,failed,javascript,Human,google_gemini-3_1-pro-preview,express,,,,,,certification_missing_or_not_reached,outputs/matrix/javascript/Human/google_gemini-3_1-pro-preview/runs/20260627-104852-human.json
20260627-173250-human,2026-06-27T17:32:50.953130+00:00,complete,javascript,Human,google_gemini-3_1-pro-preview,express,1,0.0,0.0,0,2,,outputs/matrix/javascript/Human/google_gemini-3_1-pro-preview/runs/20260627-173250-human.json
20260627-172554-human,2026-06-27T17:25:54.394203+00:00,complete,javascript,Human,openai_gpt-5_1,express,1,1.0,1.0,1,1,,outputs/matrix/javascript/Human/openai_gpt-5_1/runs/20260627-172554-human.json
20260629-120538-srs-software-requirement-specification,2026-06-29T12:05:38.116796+00:00,failed,javascript,SRS (Software Requirement Specification),deepseek_deepseek-v3_2,express,,,,,,certification_missing_or_not_reached,outputs/matrix/javascript/SRS (Software Requirement Specification)/deepseek_deepseek-v3_2/runs/20260629-120538-srs-software-requirement-specification.json
20260629-121149-srs-software-requirement-specification,2026-06-29T12:11:49.029217+00:00,complete,javascript,SRS (Software Requirement Specification),deepseek_deepseek-v3_2,express,1,0.0,0.0,0,1,,outputs/matrix/javascript/SRS (Software Requirement Specification)/deepseek_deepseek-v3_2/runs/20260629-121149-srs-software-requirement-specification.json
20260629-211920-srs-software-requirement-specification,2026-06-29T21:19:20.336701+00:00,complete,javascript,SRS (Software Requirement Specification),openai_gpt-5_1,express,1,0.0,0.5263157894736842,6,0,,outputs/matrix/javascript/SRS (Software Requirement Specification)/openai_gpt-5_1/runs/20260629-211920-srs-software-requirement-specification.json
20260630-051151-shoten-srs,2026-06-30T05:11:51.373743+00:00,complete,javascript,Shoten_SRS,anthropic_claude-haiku-4_5,express,1,0.5263157894736842,0.717391304347826,38,6,,outputs/matrix/javascript/Shoten_SRS/anthropic_claude-haiku-4_5/runs/20260630-051151-shoten-srs.json
20260629-223232-shoten-srs,2026-06-29T22:32:32.961455+00:00,complete,javascript,Shoten_SRS,deepseek_deepseek-v3_2,express,1,0.5142857142857142,0.7659574468085106,35,6,,outputs/matrix/javascript/Shoten_SRS/deepseek_deepseek-v3_2/runs/20260629-223232-shoten-srs.json
20260630-141547-shoten-srs,2026-06-30T14:15:47.265534+00:00,complete,javascript,Shoten_SRS,deepseek_deepseek-v3_2-20251201,express,1,0.42857142857142855,0.6985294117647058,35,8,,outputs/matrix/javascript/Shoten_SRS/deepseek_deepseek-v3_2-20251201/runs/20260630-141547-shoten-srs.json
20260630-062703-shoten-srs,2026-06-30T06:27:03.154464+00:00,complete,javascript,Shoten_SRS,google_gemini-3-flash-preview,express,1,0.6666666666666666,0.8333333333333334,30,8,,outputs/matrix/javascript/Shoten_SRS/google_gemini-3-flash-preview/runs/20260630-062703-shoten-srs.json
